timestep,reward
0,0.393
100,0.396
200,0.242
300,0.2545
400,0.32525
500,0.497
600,0.305
700,0.3125
800,0.28775
900,0.26125
1000,0.31575
1100,0.42675
1200,0.2695
1300,1.91975
1400,1.69825
1500,1.79525
1600,1.91775
1700,1.93625
1800,1.96225
1900,2.06875
2000,1.971
2100,2.042
2200,1.994
2300,1.94475
2400,2.05675
2500,1.885
2600,2.162
2700,1.494
2800,1.80025
2900,1.804
3000,1.6225
3100,1.514
3200,1.79375
3300,1.83775
3400,1.56875
3500,1.9275
3600,1.841
3700,1.8325
3800,1.7005
3900,1.76325
4000,1.80025
4100,1.636
4200,1.4025
4300,1.48575
4400,1.56075
4500,1.5105
4600,1.77425
4700,1.43925
4800,1.75675
4900,1.77225
